"","null_perEstimate","null_perEst.Error","null_perl.95..CI","null_peru.95..CI","null_perEff.Sample","null_perRhat","term","null_per_vidEstimate","null_per_vidEst.Error","null_per_vidl.95..CI","null_per_vidu.95..CI","null_per_vidEff.Sample","null_per_vidRhat","me_perEstimate","me_perEst.Error","me_perl.95..CI","me_peru.95..CI","me_perEff.Sample","me_perRhat","me_per_vidEstimate","me_per_vidEst.Error","me_per_vidl.95..CI","me_per_vidu.95..CI","me_per_vidEff.Sample","me_per_vidRhat","int_perEstimate","int_perEst.Error","int_perl.95..CI","int_peru.95..CI","int_perEff.Sample","int_perRhat","int_per_vidEstimate","int_per_vidEst.Error","int_per_vidl.95..CI","int_per_vidu.95..CI","int_per_vidEff.Sample","int_per_vidRhat"
"age_impute",NA,NA,NA,NA,NA,NA,"age_impute",NA,NA,NA,NA,NA,NA,-0.896922319821983,0.200633164751422,-1.28625191101093,-0.498676090084524,650.439826489819,1.01073822768729,-0.940053023050503,0.214849352428317,-1.36715802598519,-0.517123213170644,631.615669766525,1.00848306025513,-0.903388937393015,0.209833474850944,-1.30107209730549,-0.494239702007715,769.540086040734,1.00395964885299,-0.927153645485936,0.209524136580034,-1.34066251784204,-0.511595512335185,1224.14048857395,1.00041103534007
"veh_vol_non0_opspace_0_ST",NA,NA,NA,NA,NA,NA,"veh_vol_non0_opspace_0_ST",NA,NA,NA,NA,NA,NA,-2.57749901816368,0.450029559323126,-3.44374268469238,-1.69719847365983,1118.72138120488,1.00102908966939,-2.04237322925727,3.080600477785,-8.1902955106071,4.12946147237861,846.728128834844,1.0012947205089,-1.8071881126479,0.129093643237073,-2.06404741132341,-1.55466260070242,1186.56186732569,1.00030508480912,-1.49353918020437,1.11710898402214,-3.59954476407906,0.806108556389983,1562.13291868283,0.999874913312346
"street_parking_ST1.bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,"street_parking_ST1.bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22822507915053,0.248060823907613,-1.71613655401527,-0.739821171971339,952.80338270741,1.00236731261374,-0.420134763836687,1.62541711405661,-3.54484943315054,2.83782318034844,1534.55607615751,1.00149349189608
"street_parking_ST1.bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,"street_parking_ST1.bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.656349816704191,0.381505604101562,-1.40038244036169,0.0916965560749513,877.249006444346,1.00114827849037,0.135815897601207,2.25557369607305,-4.31058006186961,4.66675689548743,1575.41663177713,0.999905257051032
"street_parking_ST1.bike_operating_space_ST",NA,NA,NA,NA,NA,NA,"street_parking_ST1.bike_operating_space_ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19907633079883,0.36334337682146,-3.89428860516837,-2.5005542835744,1060.53406703648,1.00087996940495,-2.19549943307721,2.3850428952291,-6.75438304987158,2.62348324802645,1498.36293938036,1.00006513246331
"veh_volume2_ST3.bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,"veh_volume2_ST3.bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91977602298078,0.226290643926442,-2.36309567461829,-1.46883942131373,1080.10157429135,1.00040873426524,-1.08981086342459,1.58756895786206,-4.13056573448563,2.2354286303746,1568.16382198974,1.00186612705294
"veh_volume2_ST3.bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,"veh_volume2_ST3.bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.12708706154946,0.247506883433485,-2.61806241619701,-1.64923262845287,1759.25174195827,1.00015811169907,-0.78833187183034,1.91362332104047,-4.32182225437824,3.14312953733855,1390.62732643209,1.00111885330602
"bike_operating_space_ST.speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,"bike_operating_space_ST.speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91641665782604,0.364080969770874,-2.62846064913461,-1.20623549950718,1398.96074911018,1.0001809033379,-1.0297082222892,2.46359568541696,-5.90450144074138,3.77634826602437,2323.59994874723,0.999667472307305
"veh_volume2_ST3.speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,"veh_volume2_ST3.speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11283532045881,0.256937433110084,0.611252692417113,1.61291814748243,1254.3051572835,1.00069340121993,0.41690294815786,1.84427645824679,-3.42394546002718,4.11850684433385,1651.59299988356,1.00291532598199
"veh_volume2_ST3.speed_limit_mph_ST_3lev.30.40.",NA,NA,NA,NA,NA,NA,"veh_volume2_ST3.speed_limit_mph_ST_3lev.30.40.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.85497556103555,0.15246641705384,-2.14310183337353,-1.55911017281995,1786.38229191524,1.00103103879593,-1.45981148636384,1.371368568609,-4.11806866310017,1.33612700163626,1941.37122238871,1.00072948907042
